0.541796,0.213785
0.653251,0.266335
0.750774,0.328764
0.806502,0.384644
0.890093,0.440504
0.94582,0.493095
1.00155,0.558844
1.04334,0.604866
1.12693,0.667305
1.18266,0.723185
1.25232,0.782345
1.32198,0.841504
1.39164,0.894085
1.4613,0.956534
1.55882,1.00909
1.62848,1.04523
1.73994,1.09778
1.87926,1.13386
2.01858,1.14034
2.19969,1.11718
2.33901,1.06773
2.45046,1.01831
2.52012,0.982076
2.60372,0.929383
2.70124,0.87997
2.78483,0.820698
2.88235,0.751548
3.04954,0.679057
3.13313,0.603338
3.28638,0.530858
3.4257,0.451809
3.57895,0.379328
3.74613,0.313417
3.88545,0.244236
4.0805,0.194751
4.27554,0.141977
4.56811,0.0989999
4.83282,0.0626222
5.11146,0.0393922
5.48762,0.0193804
5.9195,0.0157752
6.40712,0.0154188
