0.0000000000000000	1.792000000000000e+3	3.300000000000000e+2	1.056000000000000e+3	2.570000000000000e+2	1.822000000000000e+3	3.390000000000000e+2	2.628000000000000e+3	2.930000000000000e+2	3.177000000000000e+3	3.180000000000000e+2	9.000000000000000e+0	2.830000000000000e+2	1.015000000000000e+3	2.900000000000000e+2
1.100000000000000e-1	1.792000000000000e+3	3.330000000000000e+2	1.078000000000000e+3	2.750000000000000e+2	1.878000000000000e+3	2.960000000000000e+2	2.399000000000000e+3	3.160000000000000e+2	3.167000000000000e+3	3.240000000000000e+2	7.000000000000000e+0	2.700000000000000e+2	1.049000000000000e+3	2.820000000000000e+2
2.100000000000000e-1	1.755000000000000e+3	3.480000000000000e+2	9.900000000000000e+2	2.910000000000000e+2	1.824000000000000e+3	3.110000000000000e+2	2.484000000000000e+3	3.140000000000000e+2	3.208000000000000e+3	3.520000000000000e+2	4.000000000000000e+0	2.650000000000000e+2	1.052000000000000e+3	2.710000000000000e+2
3.200000000000000e-1	1.708000000000000e+3	3.240000000000000e+2	9.960000000000000e+2	3.100000000000000e+2	1.817000000000000e+3	3.050000000000000e+2	2.525000000000000e+3	2.970000000000000e+2	3.041000000000000e+3	3.120000000000000e+2	3.000000000000000e+0	2.550000000000000e+2	1.051000000000000e+3	2.640000000000000e+2
4.200000000000000e-1	1.788000000000000e+3	3.240000000000000e+2	1.024000000000000e+3	3.010000000000000e+2	1.760000000000000e+3	2.910000000000000e+2	2.375000000000000e+3	3.090000000000000e+2	2.966000000000000e+3	2.800000000000000e+2	5.000000000000000e+0	2.340000000000000e+2	1.034000000000000e+3	2.640000000000000e+2
5.300000000000000e-1	1.718000000000000e+3	3.390000000000000e+2	9.390000000000000e+2	2.670000000000000e+2	1.712000000000000e+3	2.840000000000000e+2	2.295000000000000e+3	2.970000000000000e+2	2.905000000000000e+3	3.040000000000000e+2	5.000000000000000e+0	2.610000000000000e+2	9.840000000000000e+2	2.430000000000000e+2
6.300000000000000e-1	1.586000000000000e+3	3.070000000000000e+2	9.690000000000000e+2	2.690000000000000e+2	1.766000000000000e+3	2.870000000000000e+2	2.237000000000000e+3	3.050000000000000e+2	2.865000000000000e+3	3.310000000000000e+2	6.000000000000000e+0	2.460000000000000e+2	9.690000000000000e+2	2.420000000000000e+2
7.400000000000000e-1	1.576000000000000e+3	2.810000000000000e+2	9.200000000000000e+2	2.540000000000000e+2	1.698000000000000e+3	2.720000000000000e+2	2.255000000000000e+3	2.990000000000000e+2	2.726000000000000e+3	3.250000000000000e+2	8.000000000000000e+0	2.320000000000000e+2	9.310000000000000e+2	2.300000000000000e+2
8.400000000000000e-1	1.576000000000000e+3	2.950000000000000e+2	9.720000000000000e+2	2.400000000000000e+2	1.624000000000000e+3	3.150000000000000e+2	2.210000000000000e+3	2.900000000000000e+2	2.624000000000000e+3	2.840000000000000e+2	1.000000000000000e+1	2.450000000000000e+2	9.510000000000000e+2	2.590000000000000e+2
9.500000000000000e-1	1.569000000000000e+3	2.980000000000000e+2	8.890000000000000e+2	2.290000000000000e+2	1.564000000000000e+3	2.550000000000000e+2	2.153000000000000e+3	2.710000000000000e+2	2.584000000000000e+3	2.930000000000000e+2	7.000000000000000e+0	2.240000000000000e+2	9.030000000000000e+2	2.720000000000000e+2
